# cross-gate unreddenability sweep — the measurement behind every
# SOURCE_SIDE_FALSIFIERS row (see `FalsifierKind`).
#
# Every registered patch × every source-side leaf. The leaves run in one
# batch and any leaf the batch left without a terminal `go test -json`
# event is re-run ALONE, so a patch that kills the binary cannot be
# recorded as reddening its neighbours. `no-go-hunks` means the patch
# touches nothing under runtime-go/ and so cannot change what a Go
# fixture does; `patch-absent` means the mutation is registered but its
# patch has not been authored yet.
#
# Re-take with:
#   cargo test -p xtask --bin xtask -- --ignored --exact \
#     bluedb_gates::gates_g2_13::tests::record_cross_gate_unreddenable_sweep
#
# <mutation-id> <leaf> <verdict>
G2.12/decimal-scale-naive TestSecondOpenFailsSingleProcessLock patch-absent
G2.12/decimal-scale-naive TestWrongComparerNameRefusesOpen patch-absent
G2.13a/degenerate-upper-bound TestAuditH3ReaderGetSurfacesIoErrors green
G2.13a/degenerate-upper-bound TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary RED
G2.13a/degenerate-upper-bound TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13a/degenerate-upper-bound TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13a/degenerate-upper-bound TestCrashDurablePrefixNoReorder green
G2.13a/degenerate-upper-bound TestInjectedFaultsReopenConsistent green
G2.13a/degenerate-upper-bound TestSealContractRefusesWrites green
G2.13a/degenerate-upper-bound TestSecondOpenFailsSingleProcessLock green
G2.13a/degenerate-upper-bound TestWrongComparerNameRefusesOpen green
G2.13a/iterate-bounds-end-in-a-user-byte TestAuditH3ReaderGetSurfacesIoErrors green
G2.13a/iterate-bounds-end-in-a-user-byte TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G2.13a/iterate-bounds-end-in-a-user-byte TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13a/iterate-bounds-end-in-a-user-byte TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13a/iterate-bounds-end-in-a-user-byte TestCrashDurablePrefixNoReorder green
G2.13a/iterate-bounds-end-in-a-user-byte TestInjectedFaultsReopenConsistent green
G2.13a/iterate-bounds-end-in-a-user-byte TestSealContractRefusesWrites green
G2.13a/iterate-bounds-end-in-a-user-byte TestSecondOpenFailsSingleProcessLock green
G2.13a/iterate-bounds-end-in-a-user-byte TestWrongComparerNameRefusesOpen green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestAuditH3ReaderGetSurfacesIoErrors green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestCrashDurablePrefixNoReorder green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestInjectedFaultsReopenConsistent green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestSealContractRefusesWrites green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestSecondOpenFailsSingleProcessLock green
G2.13a/write-set-overlay-ignores-the-scanned-prefix TestWrongComparerNameRefusesOpen green
G2.13b/failed-scan-reads-as-an-empty-collection TestAuditH3ReaderGetSurfacesIoErrors green
G2.13b/failed-scan-reads-as-an-empty-collection TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G2.13b/failed-scan-reads-as-an-empty-collection TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13b/failed-scan-reads-as-an-empty-collection TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13b/failed-scan-reads-as-an-empty-collection TestCrashDurablePrefixNoReorder green
G2.13b/failed-scan-reads-as-an-empty-collection TestInjectedFaultsReopenConsistent green
G2.13b/failed-scan-reads-as-an-empty-collection TestSealContractRefusesWrites green
G2.13b/failed-scan-reads-as-an-empty-collection TestSecondOpenFailsSingleProcessLock green
G2.13b/failed-scan-reads-as-an-empty-collection TestWrongComparerNameRefusesOpen green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestAuditH3ReaderGetSurfacesIoErrors green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestCrashDurablePrefixNoReorder green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestInjectedFaultsReopenConsistent green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestSealContractRefusesWrites green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestSecondOpenFailsSingleProcessLock green
G2.13c/corrupt-hlc-hi-reads-as-a-fresh-store TestWrongComparerNameRefusesOpen green
G2.13d/commit-on-a-closed-engine-acks-success TestAuditH3ReaderGetSurfacesIoErrors green
G2.13d/commit-on-a-closed-engine-acks-success TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G2.13d/commit-on-a-closed-engine-acks-success TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13d/commit-on-a-closed-engine-acks-success TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13d/commit-on-a-closed-engine-acks-success TestCrashDurablePrefixNoReorder green
G2.13d/commit-on-a-closed-engine-acks-success TestInjectedFaultsReopenConsistent green
G2.13d/commit-on-a-closed-engine-acks-success TestSealContractRefusesWrites green
G2.13d/commit-on-a-closed-engine-acks-success TestSecondOpenFailsSingleProcessLock green
G2.13d/commit-on-a-closed-engine-acks-success TestWrongComparerNameRefusesOpen green
G2.13e/mvcc-visibility-excludes-the-readts-itself TestAuditH3ReaderGetSurfacesIoErrors green
G2.13e/mvcc-visibility-excludes-the-readts-itself TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary RED
G2.13e/mvcc-visibility-excludes-the-readts-itself TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13e/mvcc-visibility-excludes-the-readts-itself TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13e/mvcc-visibility-excludes-the-readts-itself TestCrashDurablePrefixNoReorder green
G2.13e/mvcc-visibility-excludes-the-readts-itself TestInjectedFaultsReopenConsistent RED
