BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5617	     86149 ns/op	       670.0 nodes	         1.000 patches/op	   10474 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5581	     86089 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5629	     86039 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5644	     86065 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2139	    225621 ns/op	      1762 nodes	         1.000 patches/op	   27903 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2143	    228850 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2119	    227165 ns/op	      1762 nodes	         1.000 patches/op	   27903 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2139	    225840 ns/op	      1762 nodes	         1.000 patches/op	   27903 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2131	    225430 ns/op	      1762 nodes	         1.000 patches/op	   27903 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2137	    225909 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2138	    226764 ns/op	      1762 nodes	         1.000 patches/op	   27903 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2140	    225933 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2142	    226470 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2146	    225754 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2121	    227310 ns/op	      1762 nodes	         1.000 patches/op	   27903 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2142	    225594 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2143	    225499 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2119	    225786 ns/op	      1762 nodes	         1.000 patches/op	   27903 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=250/nodes=1762-8 	    2144	    226798 ns/op	      1762 nodes	         1.000 patches/op	   27902 B/op	    1267 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     526	    897755 ns/op	      7012 nodes	         1.000 patches/op	  111913 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     526	    902675 ns/op	      7012 nodes	         1.000 patches/op	  111912 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     531	    900985 ns/op	      7012 nodes	         1.000 patches/op	  111911 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     528	    905399 ns/op	      7012 nodes	         1.000 patches/op	  111912 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     528	    896858 ns/op	      7012 nodes	         1.000 patches/op	  111913 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     528	    910242 ns/op	      7012 nodes	         1.000 patches/op	  111911 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     525	    900890 ns/op	      7012 nodes	         1.000 patches/op	  111912 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     451	    911385 ns/op	      7012 nodes	         1.000 patches/op	  111910 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     532	    897724 ns/op	      7012 nodes	         1.000 patches/op	  111910 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     522	    904677 ns/op	      7012 nodes	         1.000 patches/op	  111913 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     531	    905362 ns/op	      7012 nodes	         1.000 patches/op	  111913 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     532	    903128 ns/op	      7012 nodes	         1.000 patches/op	  111914 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     528	    900093 ns/op	      7012 nodes	         1.000 patches/op	  111912 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     531	    898909 ns/op	      7012 nodes	         1.000 patches/op	  111912 B/op	    5017 allocs/op
BenchmarkInteraction/text_one/items=1000/nodes=7012-8         	     529	    909820 ns/op	      7012 nodes	         1.000 patches/op	  111911 B/op	    5017 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  161108	      2987 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  159829	      3015 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  162073	      2987 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  158521	      3020 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  159654	      2990 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  160318	      2989 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  159121	      2996 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  156656	      3000 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  161215	      3011 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  159376	      2994 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  160170	      3014 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  160480	      3010 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  160915	      3007 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  160950	      2993 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      26 allocs/op
BenchmarkInteraction/attr_one/items=1/nodes=19-8              	  161061	      3021 ns/op	        19.00 nodes	         1.000 patches/op	    1200 B/op	      27 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23002	     20761 ns/op	       159.0 nodes	         1.000 patches/op	    3280 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23034	     20565 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   22936	     20861 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
